Area,Center X,Status,Error,Peak,Area %,Height,Max Y,Base Peak,Type,Width,SNR,Capacity Factor,Name,Cpd,Plates,PlatesPerMeter,Resolution,TailingFactor,FWHM,Notes
520,1.14,Inspect,M,1,59.43,30,76,192,,0,,,,,,,,,,
875,1.959,Inspect,"MergeProblem, Spiky",2,100,20,67,192,,0,,,,,,,,,,
13,4.074,Rejected,"HeightProblem, InterferenceProblem",3,1.49,3,51,192,,0,,,,,,,,,,
29,4.824,Rejected,I,4,3.26,4,52,192,,0,,,,,,,,,,
115,5.419,Rejected,I,5,13.19,10,58,192,,0.231,,,,,,,,,,
24,5.648,Rejected,I,6,2.73,4,52,192,,0,,,,,,,,,,
10,5.933,Rejected,"HeightProblem, InterferenceProblem",7,1.18,2,50,192,,0,,,,,,,,,,
18,6.418,Rejected,"HeightProblem, InterferenceProblem",8,2.04,3,51,192,,0,,,,,,,,,,
14,6.501,Rejected,"HeightProblem, InterferenceProblem",9,1.63,3,51,192,,0,,,,,,,,,,
23,6.705,Rejected,I,10,2.61,5,53,192,,0,,,,,,,,,,
74,6.812,Rejected,I,11,8.47,12,60,192,,0.119,,,,,,,,,,
50,6.94,Rejected,I,12,5.72,8,56,192,,0,,,,,,,,,,
