Area,Center X,Status,Error,Peak,Area %,Height,Max Y,Base Peak,Type,Width,SNR,Capacity Factor,Name,Cpd,Plates,PlatesPerMeter,Resolution,TailingFactor,FWHM,Notes
15880,0.969,Accepted,,1,100,2934,3006,44,,0.081,,,,,,,,,,
5525,1.329,Rejected,I,2,34.79,232,314,44,,0,,,,,,,,,,
5281,1.814,Rejected,I,3,33.26,208,295,44,,0,,,,,,,,,,
2636,2.264,Rejected,I,4,16.6,134,228,44,,0,,,,,,,,,,
2707,2.623,Rejected,I,5,17.05,123,221,44,,0,,,,,,,,,,
930,2.932,Rejected,"HeightProblem, InterferenceProblem",6,5.86,82,189,44,,0,,,,,,,,,,
390,3.215,Rejected,"HeightProblem, InterferenceProblem",7,2.45,36,150,44,,0,,,,,,,,,,
294,5.916,Rejected,"HeightProblem, AreaProblem, InterferenceProblem",8,1.85,28,158,44,,0,,,,,,,,,,
164,6.085,Rejected,"HeightProblem, AreaProblem, InterferenceProblem",9,1.03,20,155,44,,0,,,,,,,,,,
274,6.304,Rejected,"HeightProblem, AreaProblem, InterferenceProblem",10,1.72,24,155,44,,0,,,,,,,,,,
