Area,Center X,Status,Error,Peak,Area %,Height,Max Y,Base Peak,Type,Width,SNR,Capacity Factor,Name,Cpd,Plates,PlatesPerMeter,Resolution,TailingFactor,FWHM,Notes
634,2.82,Accepted,,11,100,50,96,160,,0.233,,,,,,,,,,
14,0.31,Inspect,"HeightProblem, AreaProblem, MergeProblem",1,2.27,2,50,160,,0.059,,,,,,,,,,
393,1.17,Inspect,M,3,62,34,80,160,,0.179,,,,,,,,,,
26,0.968,Rejected,"WidthProblem, InterferenceProblem",2,4.17,7,60,160,,0.062,,,,,,,,,,
18,1.38,Rejected,"WidthProblem, InterferenceProblem",4,2.88,4,54,160,,0,,,,,,,,,,
11,1.546,Rejected,I,5,1.73,3,53,160,,0,,,,,,,,,,
18,1.621,Rejected,I,6,2.78,4,54,160,,0,,,,,,,,,,
24,1.712,Rejected,"WidthProblem, InterferenceProblem",7,3.75,6,53,160,,0,,,,,,,,,,
36,1.809,Rejected,I,8,5.68,5,53,160,,0,,,,,,,,,,
15,2.414,Rejected,"WidthProblem, InterferenceProblem",9,2.33,5,55,160,,0.045,,,,,,,,,,
14,2.627,Rejected,I,10,2.22,3,50,160,,0,,,,,,,,,,
24,3.205,Rejected,I,12,3.81,4,51,160,,0,,,,,,,,,,
29,3.361,Rejected,I,13,4.53,4,52,160,,0,,,,,,,,,,
