Area,Center X,Status,Error,Peak,Area %,Height,Max Y,Base Peak,Type,Width,SNR,Capacity Factor,Name,Cpd,Plates,PlatesPerMeter,Resolution,TailingFactor,FWHM,Notes
241,2.804,Accepted,,12,100,21,68,160,,0.229,,,,,,,,,,
70,4.202,Accepted,,16,28.99,6,52,160,,0.233,,,,,,,,,,
30,4.609,Accepted,,17,12.41,4,50,160,,0,,,,,,,,,,
19,4.773,Accepted,,18,7.87,4,51,160,,0.073,,,,,,,,,,
46,0.133,Inspect,M,1,19,5,50,160,,0,,,,,,,,,,
79,0.455,Inspect,M,2,32.74,4,50,160,,0,,,,,,,,,,
44,0.971,Inspect,M,3,18.05,7,55,160,,0.095,,,,,,,,,,
32,1.51,Inspect,M,7,13.44,8,55,160,,0,,,,,,,,,,
18,1.669,Inspect,"HeightProblem, MergeProblem",8,7.66,2,49,160,,0.167,,,,,,,,,,
12,1.897,Inspect,"HeightProblem, MergeProblem",9,5.17,2,50,160,,0,,,,,,,,,,
18,2.099,Inspect,"HeightProblem, MergeProblem",10,7.56,3,50,160,,0,,,,,,,,,,
11,2.31,Inspect,H,11,4.6,2,50,160,,0,,,,,,,,,,
8,3.18,Inspect,H,13,3.28,2,50,160,,0.065,,,,,,,,,,
19,3.516,Inspect,M,14,7.95,3,50,160,,0,,,,,,,,,,
26,3.628,Inspect,M,15,10.65,3,50,160,,0.133,,,,,,,,,,
44,5.08,Inspect,"WidthProblem, Spiky",19,18.07,14,61,160,,0,,,,,,,,,,
22,1.125,Rejected,I,4,9.25,4,51,160,,0,,,,,,,,,,
14,1.234,Rejected,I,5,5.69,3,51,160,,0,,,,,,,,,,
13,1.397,Rejected,"HeightProblem, InterferenceProblem",6,5.45,2,49,160,,0,,,,,,,,,,
