Area,Center X,Status,Error,Peak,Area %,Height,Max Y,Base Peak,Type,Width,SNR,Capacity Factor,Name,Cpd,Plates,PlatesPerMeter,Resolution,TailingFactor,FWHM,Notes
99,5.352,Accepted,,18,44.87,7,53,192,,0.258,,,,,,,,,,
67,3.719,Accepted,,11,30.29,18,64,192,,0.055,,,,,,,,,,
43,0.194,Inspect,P,1,19.26,12,57,192,,0,,,,,,,,,,
222,1.636,Inspect,M,5,100,18,64,192,,0.199,,,,,,,,,,
99,3.148,Inspect,M,8,44.68,12,58,192,,0.119,,,,,,,,,,
71,4.831,Inspect,P,17,31.91,7,53,192,,0,,,,,,,,,,
22,5.924,Inspect,"HeightProblem, MergeProblem",19,10.08,3,49,192,,0,,,,,,,,,,
17,6.815,Inspect,"HeightProblem, AreaProblem",21,7.73,3,49,192,,0,,,,,,,,,,
7,1.219,Rejected,"HeightProblem, AreaProblem, InterferenceProblem",2,3.3,2,49,192,,0,,,,,,,,,,
32,1.366,Rejected,"WidthProblem, MergeProblem, SeriousProblem",3,14.41,10,58,192,,0.051,,,,,,,,,,
35,1.498,Rejected,I,4,15.92,9,57,192,,0,,,,,,,,,,
3,2.01,Rejected,"HeightProblem, AreaProblem, WidthProblem, InterferenceProblem",6,1.25,1,48,192,,0,,,,,,,,,,
11,2.116,Rejected,"HeightProblem, AreaProblem, MergeProblem, SeriousProblem",7,4.77,2,48,192,,0,,,,,,,,,,
32,3.386,Rejected,I,9,14.44,5,52,192,,0,,,,,,,,,,
46,3.46,Rejected,I,10,20.96,5,52,192,,0,,,,,,,,,,
10,3.846,Rejected,"HeightProblem, WidthProblem, InterferenceProblem",12,4.53,3,49,192,,0,,,,,,,,,,
19,3.968,Rejected,"HeightProblem, InterferenceProblem",13,8.69,3,49,192,,0,,,,,,,,,,
6,4.075,Rejected,"HeightProblem, AreaProblem, InterferenceProblem",14,2.8,1,48,192,,0,,,,,,,,,,
3,4.222,Rejected,"HeightProblem, AreaProblem, SeriousProblem",15,1.55,1,47,192,,0.053,,,,,,,,,,
3,4.352,Rejected,"HeightProblem, AreaProblem, SeriousProblem",16,1.52,1,47,192,,0,,,,,,,,,,
7,6.039,Rejected,"HeightProblem, AreaProblem, MergeProblem, SeriousProblem",20,3.09,1,48,192,,0,,,,,,,,,,
